review_id,transaction_id,product_id,reviewer_id,rating,comment,review_date,is_anonymous
R000031,T002573,P002522,U001745,5,东西很实用，正好需要,2024-01-15 00:00:00,0
R000032,T003045,P004118,U000381,3,凑合着用吧，毕竟是二手的,2023-02-23 00:00:00,1
R000033,T000517,P007527,U002152,4,还可以，下次可能还会来,2022-08-28 00:00:00,0
R000034,T003560,P004125,U000341,5,物品保养得很好，看得出很爱惜,2022-10-23 00:00:00,0
R000035,T002537,P006742,U000533,4,质量可以，就是有点使用痕迹,2024-05-25 00:00:00,0
R000036,T002948,P006254,U000194,5,东西不错，性价比超高，推荐购买,2024-06-08 00:00:00,1
R000037,T002073,P005672,U001226,4,性价比可以，物有所值,2022-10-26 00:00:00,1
R000038,T000538,P000348,U000365,4,卖家挺实在的，东西也还可以,2022-03-06 00:00:00,0
R000039,T002448,P004601,U002396,5,卖家诚信，商品优质,2023-10-06 00:00:00,1
R000040,T002047,P001733,U002355,4,还可以，下次可能还会来,2022-09-01 00:00:00,0
R000041,T000548,P002404,U002495,5,比去某宝买便宜太多了，赚了,2023-11-13 00:00:00,0
R000042,T000174,P000045,U000697,5,满意满意，五星好评,2021-09-19 00:00:00,0
R000043,T000514,P001275,U001587,4,不错的购物体验，就是约见面有点麻烦,2022-09-19 00:00:00,0
R000044,T002482,P006445,U001800,5,同校交易就是方便，当面验货放心,2023-01-19 00:00:00,0
R000045,T001522,P006052,U000870,4,可以，基本满足需求,2023-01-28 00:00:00,0
R000046,T002411,P002876,U001992,4,卖家态度好，商品也还行,2021-06-28 00:00:00,0
R000047,T002106,P003834,U000334,5,价格公道，东西实在，良心卖家,2021-11-12 00:00:00,0
R000048,T003389,P001398,U000742,5,物品如描述，好评,2023-01-04 00:00:00,0
R000049,T003591,P003736,U002788,4,基本满意，就是外观有点旧,2022-09-06 00:00:00,0
R000050,T001855,P005339,U001420,5,卖家诚信，商品优质,2021-07-20 00:00:00,1
R000051,T002089,P005768,U000118,4,质量可以，就是有点使用痕迹,2021-04-21 00:00:00,1
R000052,T002600,P006226,U002127,4,算是比较满意的,2023-08-13 00:00:00,0
R000053,T000674,P007951,U001787,5,收到货很惊喜，比想象中好很多,2022-11-02 00:00:00,1
R000054,T002063,P002422,U001454,3,成色比预期的要旧一些,2024-04-09 00:00:00,0
R000055,T003605,P003355,U000861,5,满意满意，五星好评,2021-04-05 00:00:00,0
R000056,T002816,P001092,U001572,4,功能正常，有些使用痕迹,2022-03-15 00:00:00,0
R000057,T003375,P002166,U001525,5,质量不错，值得购买，下次还来,2021-04-28 00:00:00,0
R000058,T000609,P000275,U001079,2,东西有点旧，有点失望,2024-03-23 00:00:00,1
R000059,T002629,P004371,U002854,5,卖家很负责，交易很顺利,2021-04-25 00:00:00,0
R000060,T003608,P004363,U002602,5,学姐人超好，还教我怎么使用,2021-05-17 00:00:00,0
R000061,T002530,P001157,U002521,3,没啥特别的，就是便宜,2022-04-23 00:00:00,0
R000062,T003131,P001933,U002578,3,凑合着用吧，毕竟是二手的,2024-05-23 00:00:00,1
R000063,T003917,P002490,U002495,5,东西保养得非常好，点赞,2023-11-04 00:00:00,0
R000064,T003636,P003909,U001849,5,比去某宝买便宜太多了，赚了,2023-10-20 00:00:00,0
R000065,T002911,P007665,U002392,4,满意，就是包装简单了点,2021-04-04 00:00:00,0
R000066,T002988,P000365,U002707,4,性价比可以，物有所值,2022-11-24 00:00:00,0
R000067,T002000,P000963,U002584,4,商品质量不错，略有瑕疵,2024-01-29 00:00:00,0
R000068,T000469,P005218,U000776,5,物美价廉，值得信赖,2024-04-14 00:00:00,0
R000069,T000362,P001106,U001942,5,商品和描述一致，卖家很诚信！,2023-09-25 00:00:00,0
R000070,T001397,P002376,U002466,1,严重不符，强烈不推荐,2021-01-06 00:00:00,0
R000071,T003203,P003687,U002285,4,卖家态度好，商品也还行,2023-09-17 00:00:00,1
R000072,T003224,P006124,U002753,5,宝贝收到了，和图片一模一样,2022-07-29 00:00:00,0
R000073,T002762,P007832,U001320,5,物品如描述，好评,2022-09-05 00:00:00,1
R000074,T001867,P002820,U002932,5,物品保养得很好，看得出很爱惜,2023-11-06 00:00:00,1
R000075,T000077,P003059,U002015,5,收到了，很好用，感谢,2024-01-18 00:00:00,1
R000076,T000079,P004933,U002997,5,物品保养得很好，看得出很爱惜,2023-03-18 00:00:00,0
R000077,T002194,P004432,U002481,4,东西还行，卖家也挺好说话的,2020-11-11 00:00:00,0
R000078,T000821,P003352,U002442,3,和图片有些差距，还能用,2021-09-05 00:00:00,0
R000079,T001125,P003863,U001855,5,物品成色比描述的还好,2023-12-28 00:00:00,0
R000080,T002334,P005555,U002458,5,学长人很好，还送了配件,2021-11-01 00:00:00,0
R000081,T003648,P003434,U001740,5,非常好，推荐给室友了,2021-08-25 00:00:00,0
R000082,T001318,P005170,U001769,4,质量可以，就是有点使用痕迹,2021-12-12 00:00:00,0
R000083,T003279,P006894,U001639,4,功能正常，有些使用痕迹,2021-06-26 00:00:00,0
R000084,T000280,P004116,U000832,5,物品完好无损，包装也很仔细,2022-04-11 00:00:00,0
R000085,T001978,P000523,U000351,4,不错，就是有点旧,2024-02-15 00:00:00,0
R000086,T003152,P000139,U000900,4,可以用，性价比还算可以,2024-03-12 00:00:00,1
R000087,T001891,P007396,U001970,4,还可以，就是没有配件了,2023-08-27 00:00:00,0
R000088,T002299,P005376,U001150,5,满意满意，五星好评,2024-05-30 00:00:00,0
R000089,T000778,P000803,U000939,4,物品能用，价格也合理,2022-07-30 00:00:00,0
R000090,T002935,P004070,U002218,4,卖家态度好，商品也还行,2022-09-29 00:00:00,0
R000091,T002310,P005144,U000603,5,超级满意，卖家态度特别好,2020-10-08 00:00:00,0
R000092,T003384,P007381,U000308,4,功能正常，有些使用痕迹,2022-10-17 00:00:00,1
R000093,T003737,P005294,U000022,4,还行，符合二手的标准,2023-01-03 00:00:00,0
R000094,T001014,P001210,U002215,4,物品基本符合描述，好评,2024-04-20 00:00:00,0
R000095,T002419,P000242,U001907,5,比预期好太多了，强烈推荐,2021-09-11 00:00:00,0
R000096,T002329,P003043,U000598,5,太棒了，超出预期,2024-03-22 00:00:00,0
R000097,T003360,P003232,U000437,1,感觉被骗了，差评,2021-04-08 00:00:00,0
R000098,T002080,P004498,U001547,3,商品还可以，没有惊喜,2021-09-29 00:00:00,1
R000099,T002675,P003839,U001832,4,不错，就是有点旧,2022-01-25 00:00:00,1
R000100,T000070,P001485,U000225,5,卖家诚信，商品优质,2021-03-21 00:00:00,0
R000101,T001691,P007149,U002296,4,还行，符合二手的标准,2020-10-15 00:00:00,0
R000102,T000761,P007504,U002218,5,物品保养得很好，看得出很爱惜,2021-01-09 00:00:00,0
R000103,T002628,P006446,U002470,5,学长人很好，还送了配件,2021-11-02 00:00:00,0
R000104,T002060,P006642,U002278,5,学姐人超好，还教我怎么使用,2023-03-04 00:00:00,0
R000105,T002515,P004136,U002664,4,性价比可以，物有所值,2022-08-05 00:00:00,1
R000106,T001578,P002926,U002384,4,还不错，就是价格稍微有点高,2024-06-01 00:00:00,0
R000107,T001058,P003332,U000994,3,不是特别满意，但也不算太差,2023-12-04 00:00:00,0
R000108,T001047,P006729,U000573,5,卖家很负责，交易很顺利,2021-08-19 00:00:00,0
R000109,T001618,P003635,U000121,5,太棒了，超出预期,2024-06-16 00:00:00,0
R000110,T002949,P004553,U002818,5,物品成色比描述的还好,2022-10-14 00:00:00,1
R000111,T000838,P003862,U001695,4,还不错，就是价格稍微有点高,2023-07-16 00:00:00,0
R000112,T000705,P003517,U002700,5,卖家诚信，商品优质,2024-02-20 00:00:00,0
R000113,T002253,P003048,U000596,5,良心价格，良心卖家,2021-07-25 00:00:00,0
R000114,T002514,P002703,U001767,5,超值，下次有需要还来,2021-06-23 00:00:00,0
R000115,T003765,P003406,U002816,4,功能正常，有些使用痕迹,2023-06-03 00:00:00,0
R000116,T000256,P001076,U000369,4,不错的购物体验，就是约见面有点麻烦,2023-01-28 00:00:00,0
R000117,T000034,P006671,U002303,5,物品成色比描述的还好,2023-12-22 00:00:00,0
R000118,T001814,P007509,U002037,5,卖家诚信，商品优质,2022-04-10 00:00:00,0
R000119,T002546,P006976,U000539,5,物品如描述，好评,2022-10-09 00:00:00,1
R000120,T003069,P000989,U002589,4,不错，就是有点旧,2020-10-19 00:00:00,0
R000121,T001493,P004388,U000592,5,物品功能完好，非常满意,2022-02-06 00:00:00,1
R000122,T001320,P003310,U001764,4,卖家挺实在的，东西也还可以,2021-03-26 00:00:00,0
R000123,T002123,P005574,U002617,4,功能正常，有些使用痕迹,2024-05-01 00:00:00,0
R000124,T002213,P004908,U000435,4,不错，就是有点旧,2022-07-16 00:00:00,0
R000125,T003659,P001314,U001501,5,东西很实用，正好需要,2021-03-05 00:00:00,0
R000126,T003315,P005035,U000064,3,价格合适，东西一般,2021-10-11 00:00:00,0
R000127,T003592,P004364,U001362,5,性价比真的很高，捡到宝了,2022-02-06 00:00:00,0
R000128,T002198,P005094,U000068,5,收到了，很好用，感谢,2023-01-14 00:00:00,0
R000129,T003459,P005499,U002333,5,物品成色比描述的还好,2023-06-06 00:00:00,1
R000130,T002662,P003851,U000794,5,超级满意，卖家态度特别好,2022-06-12 00:00:00,0
R000131,T000411,P004148,U000284,5,收到了，很好用，感谢,2024-03-03 00:00:00,1
R000132,T002120,P003877,U002818,4,物品能用，价格也合理,2023-02-18 00:00:00,0
R000133,T002397,P007703,U001980,5,东西很棒，卖家人也很好,2023-05-22 00:00:00,0
R000134,T002507,P005478,U001466,5,物流很快，商品质量也很好,2024-06-22 00:00:00,0
R000135,T001495,P002164,U002547,5,东西很棒，卖家人也很好,2023-06-21 00:00:00,0
R000136,T003764,P006604,U000168,5,收到了，很好用，感谢,2021-01-17 00:00:00,1
R000137,T000087,P004773,U001187,4,总体满意，小细节还有改进空间,2022-06-04 00:00:00,0
R000138,T000522,P000729,U002867,5,卖家很耐心解答问题，商品质量也好,2021-10-12 00:00:00,0
R000139,T002362,P000819,U002296,5,东西很棒，卖家人也很好,2021-11-01 00:00:00,0
R000140,T003072,P000723,U000770,5,卖家很负责，交易很顺利,2023-03-12 00:00:00,0
R000141,T000710,P006395,U002286,3,和预期差不多，一般般,2021-05-28 00:00:00,0
R000142,T000048,P003777,U002881,2,卖家态度一般，东西也就那样,2023-12-09 00:00:00,0
R000143,T002499,P004038,U000413,1,质量太差了，根本不能用,2021-02-09 00:00:00,0
R000144,T001032,P004939,U002615,5,超级满意，卖家态度特别好,2023-01-11 00:00:00,0
R000145,T003042,P004367,U001293,3,成色比预期的要旧一些,2023-09-08 00:00:00,0
R000146,T001504,P003164,U001241,5,很满意的一次购物,2020-12-12 00:00:00,0
R000147,T003022,P004191,U002967,5,卖家很耐心解答问题，商品质量也好,2023-03-07 00:00:00,0
R000148,T000408,P003818,U001497,4,还不错，就是价格稍微有点高,2022-01-17 00:00:00,1
R000149,T000642,P001765,U002864,5,良心价格，良心卖家,2023-12-06 00:00:00,0
R000150,T002304,P004984,U002340,5,卖家很负责，交易很顺利,2021-11-09 00:00:00,0
R000151,T001811,P001639,U000357,3,凑合着用吧，毕竟是二手的,2022-05-06 00:00:00,0
R000152,T001113,P003425,U000533,5,宝贝收到了，和图片一模一样,2022-05-30 00:00:00,1
R000153,T000025,P000126,U000540,5,商品和描述一致，卖家很诚信！,2023-04-20 00:00:00,0
R000154,T000138,P006278,U001965,5,同校交易就是方便，当面验货放心,2024-07-02 00:00:00,0
R000155,T003391,P006655,U001851,5,超级满意，卖家态度特别好,2023-11-27 00:00:00,0
R000156,T002527,P001459,U002592,5,非常棒的购物体验，五星好评,2023-07-28 00:00:00,0
R000157,T003019,P007708,U000789,5,非常好，推荐给室友了,2023-12-01 00:00:00,1
R000158,T003865,P006653,U000577,5,物品完好无损，包装也很仔细,2023-08-28 00:00:00,0
R000159,T000891,P007135,U002264,3,东西一般，但价格还行,2020-12-09 00:00:00,1
R000160,T003892,P002898,U001662,5,比去某宝买便宜太多了，赚了,2023-04-07 00:00:00,0
R000161,T003025,P006755,U002445,4,不错的购物体验，就是约见面有点麻烦,2024-06-20 00:00:00,0
R000162,T000992,P007207,U002192,4,整体OK，有点小问题但能接受,2022-03-29 00:00:00,0
R000163,T002671,P003565,U001913,4,可以用，性价比还算可以,2020-12-04 00:00:00,1
R000164,T000072,P000056,U001311,5,东西很新，几乎没怎么用过,2024-01-15 00:00:00,0
R000165,T001174,P007973,U001552,5,宝贝收到了，和图片一模一样,2022-07-25 00:00:00,0
R000166,T002599,P006194,U001723,5,交易顺利，卖家人很好，沟通也很愉快,2023-01-09 00:00:00,0
R000167,T003621,P004559,U000435,5,物美价廉，值得信赖,2022-07-10 00:00:00,0
R000168,T001396,P005240,U000088,5,物品如描述，好评,2023-05-17 00:00:00,0
R000169,T000114,P001790,U001519,4,商品质量不错，略有瑕疵,2022-11-08 00:00:00,0
R000170,T001146,P002243,U001654,5,同校交易就是方便，当面验货放心,2021-11-19 00:00:00,0
R000171,T001880,P001329,U002730,5,性价比真的很高，捡到宝了,2021-11-10 00:00:00,0
R000172,T003609,P000761,U001489,3,中规中矩，没什么可说的,2021-10-12 00:00:00,0
R000173,T002401,P007437,U001703,5,卖家态度好，东西也好,2021-10-21 00:00:00,0
R000174,T000195,P001815,U001467,3,凑合着用吧，毕竟是二手的,2024-03-25 00:00:00,0
R000175,T002180,P003603,U001703,4,可以，基本满足需求,2021-09-17 00:00:00,0
R000176,T001591,P005719,U001941,5,卖家很专业，讲解得很详细,2024-06-23 00:00:00,0
R000177,T000336,P002726,U000952,1,极度不推荐，垃圾,2024-06-26 00:00:00,0
R000178,T003338,P000623,U001690,5,很满意的一次购物,2024-01-17 00:00:00,1
R000179,T002237,P004457,U001403,1,完全不能用，要求退款,2022-02-25 00:00:00,1
R000180,T003479,P004859,U001293,4,东西还可以，符合预期,2022-01-03 00:00:00,0
R000181,T003258,P000132,U001555,5,东西很棒，卖家人也很好,2020-11-07 00:00:00,1
R000182,T001055,P006125,U001624,5,学长人很好，还送了配件,2021-07-23 00:00:00,0
R000183,T002630,P001316,U001697,5,质量不错，值得购买，下次还来,2023-12-27 00:00:00,0
R000184,T000840,P004688,U002475,5,东西保养得非常好，点赞,2023-09-05 00:00:00,1
R000185,T001059,P002664,U001025,5,物品如描述，好评,2022-02-19 00:00:00,0
R000186,T003794,P001742,U002058,3,不是特别满意，但也不算太差,2022-06-28 00:00:00,0
R000187,T003732,P006845,U001885,5,超级满意，卖家态度特别好,2023-11-27 00:00:00,0
R000188,T001896,P002581,U001844,5,质量不错，值得购买，下次还来,2022-09-07 00:00:00,0
R000189,T000134,P003726,U000674,3,说不上好也说不上坏,2021-04-26 00:00:00,0
R000190,T001050,P002685,U002642,5,太棒了，超出预期,2023-12-12 00:00:00,1
R000191,T003969,P002538,U001165,5,卖家诚信，商品优质,2021-07-29 00:00:00,0
R000192,T001155,P002318,U000068,5,物品功能完好，非常满意,2023-06-07 00:00:00,1
R000193,T000477,P005909,U002182,5,东西保养得非常好，点赞,2021-08-18 00:00:00,0
R000194,T001598,P004178,U000548,3,价格合适，东西一般,2022-09-25 00:00:00,0
R000195,T002232,P002447,U002234,5,商品和描述一致，卖家很诚信！,2023-05-08 00:00:00,0
R000196,T001945,P000280,U000591,5,满意满意，五星好评,2021-10-31 00:00:00,0
R000197,T002776,P005055,U000483,4,满意，就是包装简单了点,2022-11-14 00:00:00,1
R000198,T000698,P002615,U000496,4,质量可以，就是有点使用痕迹,2024-05-02 00:00:00,0
R000199,T001463,P006477,U001570,5,物品成色比描述的还好,2023-06-05 00:00:00,1
R000200,T002183,P007623,U002461,3,成色比预期的要旧一些,2023-03-16 00:00:00,1
R000201,T003221,P005020,U002777,5,成色很好，物超所值，非常满意,2022-07-10 00:00:00,0
R000202,T001770,P005844,U002613,5,非常棒的购物体验，五星好评,2022-03-20 00:00:00,1
R000203,T000327,P000238,U001211,4,整体OK，有点小问题但能接受,2024-01-19 00:00:00,0
R000204,T000305,P003430,U001211,5,比去某宝买便宜太多了，赚了,2024-06-29 00:00:00,1
R000205,T000799,P007498,U002979,3,中规中矩，没什么可说的,2023-08-24 00:00:00,0
R000206,T002351,P001600,U000588,5,质量不错，值得购买，下次还来,2024-06-20 00:00:00,0
R000207,T003355,P004099,U001874,4,卖家态度好，商品也还行,2020-10-27 00:00:00,0
R000208,T002525,P000428,U001897,5,卖家很耐心解答问题，商品质量也好,2023-09-12 00:00:00,1
R000209,T000389,P006928,U000754,4,还可以，下次可能还会来,2020-10-31 00:00:00,1
R000210,T000419,P004266,U002976,5,完美的交易体验，感谢卖家,2022-01-26 00:00:00,0
R000211,T002825,P004695,U001424,5,太棒了，超出预期,2021-05-04 00:00:00,0
R000212,T002547,P001482,U000293,5,宝贝收到了，和图片一模一样,2023-12-09 00:00:00,0
R000213,T001637,P000843,U001098,5,卖家很靠谱，约的时间地点都很准时,2022-07-19 00:00:00,1
R000214,T000229,P006222,U002532,5,卖家很靠谱，约的时间地点都很准时,2022-12-15 00:00:00,0
R000215,T003722,P003966,U002145,5,非常棒的购物体验，五星好评,2021-02-26 00:00:00,1
R000216,T003676,P000541,U001096,4,物品能用，价格也合理,2022-12-21 00:00:00,0
R000217,T001099,P004630,U000757,4,整体不错，有点小瑕疵但不影响使用,2023-06-10 00:00:00,1
R000218,T002870,P003920,U002938,5,超值，下次有需要还来,2023-04-30 00:00:00,0
R000219,T000531,P005239,U001637,5,良心价格，良心卖家,2022-02-06 00:00:00,0
R000220,T003116,P001471,U000819,4,挺好的，虽然不是全新但很值,2022-10-01 00:00:00,0
R000221,T000067,P001807,U000944,4,还可以，就是没有配件了,2022-05-31 00:00:00,0
R000222,T003620,P000863,U001776,5,很满意的一次购物,2022-05-25 00:00:00,1
R000223,T003667,P001204,U000901,5,东西很棒，卖家人也很好,2022-11-04 00:00:00,1
R000224,T000320,P000586,U002256,5,交易顺利，卖家人很好，沟通也很愉快,2024-02-19 00:00:00,0
R000225,T002518,P006414,U002261,5,超值，下次有需要还来,2022-07-22 00:00:00,0
R000226,T002174,P000995,U001598,4,基本满意，就是外观有点旧,2022-03-13 00:00:00,1
R000227,T000326,P003129,U002172,5,商品和描述一致，卖家很诚信！,2022-12-15 00:00:00,1
R000228,T002519,P006387,U001325,5,物品成色比描述的还好,2023-12-08 00:00:00,0
R000229,T002838,P003217,U000563,5,收到了，很好用，感谢,2021-06-18 00:00:00,0
R000230,T003942,P004608,U001539,5,卖家很耐心解答问题，商品质量也好,2021-01-29 00:00:00,1
R000231,T001511,P007977,U001497,3,说不上好也说不上坏,2023-05-13 00:00:00,0
R000232,T002031,P003299,U000871,3,成色比预期的要旧一些,2023-12-31 00:00:00,0
R000233,T002371,P000634,U000910,5,卖家态度好，东西也好,2020-11-18 00:00:00,0
R000234,T003815,P006173,U000469,3,没啥特别的，就是便宜,2021-01-08 00:00:00,0
R000235,T001091,P004433,U002102,5,卖家很负责，交易很顺利,2021-08-03 00:00:00,0
R000236,T002912,P001837,U000676,2,价格有点贵，不太划算,2023-12-27 00:00:00,0
R000237,T002352,P006458,U001130,5,宝贝收到了，和图片一模一样,2022-09-11 00:00:00,0
R000238,T000035,P004419,U002713,5,价格公道，东西实在，良心卖家,2021-08-22 00:00:00,1
R000239,T000182,P007145,U000127,4,卖家挺实在的，东西也还可以,2023-06-25 00:00:00,0
R000240,T002701,P005282,U002644,5,商品和描述一致，卖家很诚信！,2024-04-24 00:00:00,0
R000241,T002984,P004274,U000841,5,东西不错，性价比超高，推荐购买,2023-07-12 00:00:00,1
R000242,T001875,P000147,U001049,2,和图片差距比较大,2023-10-27 00:00:00,0
R000243,T003208,P004111,U000439,5,物品如描述，好评,2021-07-20 00:00:00,1
R000244,T001097,P001475,U001849,3,和描述有点出入，但还能接受,2022-11-20 00:00:00,0
R000245,T002964,P001189,U000832,5,同校交易就是方便，当面验货放心,2024-06-25 00:00:00,0
R000246,T002297,P001945,U001155,5,非常好，推荐给室友了,2023-06-15 00:00:00,1
R000247,T001471,P002863,U000704,5,良心价格，良心卖家,2021-09-11 00:00:00,1
R000248,T000668,P006609,U001642,5,卖家很靠谱，约的时间地点都很准时,2024-06-18 00:00:00,0
R000249,T001909,P005734,U002044,3,不是特别满意，但也不算太差,2024-02-29 00:00:00,0
R000250,T002500,P005473,U000274,4,不错，就是有点旧,2022-04-02 00:00:00,0
R000251,T002268,P003399,U000755,5,超值，下次有需要还来,2022-07-26 00:00:00,0
R000252,T003873,P005503,U000573,5,卖家很靠谱，约的时间地点都很准时,2024-03-10 00:00:00,0
R000253,T000384,P001631,U001939,5,卖家很专业，讲解得很详细,2024-01-20 00:00:00,0
R000254,T002018,P004949,U001675,4,不错，就是有点旧,2024-03-27 00:00:00,0
R000255,T000196,P005026,U000563,5,收到货很惊喜，比想象中好很多,2021-09-03 00:00:00,0
R000256,T003707,P003235,U002947,4,卖家挺实在的，东西也还可以,2021-05-07 00:00:00,0
R000257,T002242,P000854,U002442,1,完全不能用，要求退款,2023-06-11 00:00:00,0
R000258,T000478,P007744,U000951,4,还行，符合二手的标准,2021-08-12 00:00:00,0
R000259,T001081,P007547,U002974,5,超级满意，卖家态度特别好,2023-05-03 00:00:00,0
R000260,T002760,P006439,U000483,5,卖家态度好，东西也好,2020-12-07 00:00:00,1
R000261,T003890,P005051,U002612,5,性价比真的很高，捡到宝了,2023-07-28 00:00:00,0
R000262,T002864,P005358,U001730,5,卖家诚信，商品优质,2022-12-24 00:00:00,1
R000263,T000949,P001170,U000595,3,凑合着用吧，毕竟是二手的,2022-03-11 00:00:00,1
R000264,T000058,P006178,U002328,5,完美，没有任何问题,2024-03-31 00:00:00,0
R000265,T001151,P000110,U001836,3,凑合，毕竟便宜,2022-08-04 00:00:00,0
R000266,T003277,P003050,U001960,5,买到就是赚到，强推,2021-06-04 00:00:00,0
R000267,T002928,P001269,U002207,5,东西很实用，正好需要,2020-11-18 00:00:00,0
R000268,T003426,P005775,U002068,4,卖家挺实在的，东西也还可以,2020-12-18 00:00:00,0
R000269,T000663,P002393,U001739,5,宝贝收到了，和图片一模一样,2022-01-02 00:00:00,0
R000270,T000776,P001990,U001926,5,良心价格，良心卖家,2021-03-02 00:00:00,0
R000271,T002740,P003911,U001618,5,超值，下次有需要还来,2024-05-14 00:00:00,0
R000272,T000667,P006958,U002089,5,卖家很靠谱，约的时间地点都很准时,2023-08-16 00:00:00,0
R000273,T000689,P006302,U001442,3,和预期差不多，一般般,2021-01-15 00:00:00,0
R000274,T000536,P007364,U000383,4,商品质量不错，略有瑕疵,2023-10-26 00:00:00,0
R000275,T000991,P007955,U000119,5,卖家态度好，东西也好,2021-10-01 00:00:00,0
R000276,T001298,P003772,U001313,5,太棒了，超出预期,2021-08-22 00:00:00,1
R000277,T001309,P007643,U002962,5,超值，下次有需要还来,2020-12-02 00:00:00,1
R000278,T003619,P006180,U000526,4,还行，符合二手的标准,2024-06-15 00:00:00,1
R000279,T001897,P002850,U001381,2,有点上当的感觉,2024-07-06 00:00:00,1
R000280,T000083,P001353,U000561,5,卖家很靠谱，约的时间地点都很准时,2023-10-27 00:00:00,0
R000281,T003297,P006259,U002203,4,总体满意，小细节还有改进空间,2023-08-04 00:00:00,0
R000282,T003949,P004735,U000915,4,商品质量不错，略有瑕疵,2023-08-01 00:00:00,1
R000283,T000728,P000113,U001434,5,东西保养得非常好，点赞,2022-06-08 00:00:00,0
R000284,T001815,P006381,U000258,5,比预期好太多了，强烈推荐,2022-11-30 00:00:00,0
R000285,T003700,P001273,U001245,5,满意满意，五星好评,2022-02-22 00:00:00,0
R000286,T001498,P005140,U000818,5,学长人很好，还送了配件,2022-07-15 00:00:00,1
R000287,T002169,P000653,U000077,4,还可以，下次可能还会来,2022-02-06 00:00:00,0
R000288,T003359,P002570,U000132,5,物品完好无损，包装也很仔细,2022-01-02 00:00:00,0
R000289,T002632,P006419,U002277,4,性价比可以，物有所值,2022-03-07 00:00:00,0
R000290,T003362,P004722,U000816,5,收到了，很好用，感谢,2023-03-12 00:00:00,0
R000291,T000732,P000452,U002882,5,很满意的一次购物,2022-05-27 00:00:00,1
R000292,T003563,P002072,U001102,5,物流很快，商品质量也很好,2022-11-16 00:00:00,0
R000293,T002164,P000710,U001044,5,质量不错，值得购买，下次还来,2022-03-05 00:00:00,0
R000294,T001984,P007129,U001722,5,价格公道，东西实在，良心卖家,2024-04-26 00:00:00,0
R000295,T002254,P003989,U002766,5,物流很快，商品质量也很好,2023-07-24 00:00:00,0
R000296,T003374,P006206,U001274,4,物品能用，价格也合理,2022-12-11 00:00:00,1
R000297,T003149,P007341,U000110,4,卖家挺实在的，东西也还可以,2021-12-14 00:00:00,1
R000298,T001500,P002852,U001142,5,满意满意，五星好评,2022-07-07 00:00:00,0
R000299,T000839,P001778,U000849,4,可以用，性价比还算可以,2021-05-26 00:00:00,1
R000300,T000247,P005845,U000434,5,买到就是赚到，强推,2022-11-02 00:00:00,0
